Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
22-May-2020,9067.9,9149.6,8968.55,9039.25,675759336,31625.47,9113.63,9171.16,9048.71,9236.08,8991.18
26-May-2020,9099.75,9161.65,8996.65,9029.05,654959960,30871.59,9052.47,9136.39,8955.34,9233.52,8871.42
27-May-2020,9082.2,9334.0,9004.25,9314.95,763492487,34603.88,9062.45,9128.25,8963.25,9227.45,8897.45
28-May-2020,9364.95,9511.25,9336.5,9490.1,837911425,37761.91,9217.73,9431.21,9101.46,9547.48,8887.98
29-May-2020,9422.2,9598.85,9376.9,9580.3,967005438,45006.25,9445.95,9555.4,9380.65,9620.7,9271.2
01-Jun-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92,9518.68,9660.46,9438.51,9740.63,9296.73
02-Jun-2020,9880.85,9995.6,9824.05,9979.1,770192848,36723.11,9821.57,9936.19,9711.54,10046.22,9596.92
03-Jun-2020,10108.3,10176.2,10035.55,10061.55,794664422,38343.61,9932.92,10041.79,9870.24,10104.47,9761.37
04-Jun-2020,10054.25,10123.85,9944.25,10029.1,775106567,36399.04,10091.1,10146.65,10006.0,10231.75,9950.45
05-Jun-2020,10093.8,10177.8,10040.75,10142.15,987122302,37824.63,10032.4,10120.55,9940.95,10212.0,9852.8
08-Jun-2020,10326.75,10328.5,10120.25,10167.45,936485541,37819.06,10120.23,10199.71,10062.66,10257.28,9983.18
09-Jun-2020,10181.15,10291.15,10021.45,10046.65,754217460,36201.05,10205.4,10290.55,10082.3,10413.65,9997.15
10-Jun-2020,10072.6,10148.75,10036.85,10116.15,632383068,28485.47,10119.75,10218.05,9948.35,10389.45,9850.05
11-Jun-2020,10094.1,10112.05,9885.05,9902.0,715453486,30813.85,10100.58,10164.31,10052.41,10212.48,9988.68
12-Jun-2020,9544.95,9996.05,9544.35,9972.9,796306399,36505.77,9966.37,10047.69,9820.69,10193.37,9739.37
15-Jun-2020,9919.35,9943.35,9726.35,9813.7,716053036,31926.65,9837.77,10131.19,9679.49,10289.47,9386.07
16-Jun-2020,10014.8,10046.15,9728.5,9914.0,899895044,36257.89,9827.8,9929.25,9712.25,10044.8,9610.8
17-Jun-2020,9876.7,10003.6,9833.8,9881.15,685418390,30700.69,9896.22,10063.94,9746.29,10213.87,9578.57
18-Jun-2020,9863.25,10111.2,9845.05,10091.65,622895963,28594.32,9906.18,9978.56,9808.76,10075.98,9736.38
19-Jun-2020,10119.0,10272.4,10072.65,10244.4,892096343,48103.56,10015.97,10186.89,9920.74,10282.12,9749.82
22-Jun-2020,10318.75,10393.65,10277.6,10311.2,685385093,35529.8,10196.48,10320.31,10120.56,10396.23,9996.73
23-Jun-2020,10347.95,10484.7,10301.75,10471.0,669195109,34148.13,10327.48,10377.36,10261.31,10443.53,10211.43
24-Jun-2020,10529.25,10553.15,10281.95,10305.3,854799801,41394.45,10419.15,10536.55,10353.6,10602.1,10236.2
25-Jun-2020,10235.55,10361.8,10194.5,10288.9,994190886,41726.07,10380.13,10478.31,10207.11,10651.33,10108.93
26-Jun-2020,10378.9,10409.85,10311.25,10383.0,671910159,31841.68,10281.73,10368.96,10201.66,10449.03,10114.43
29-Jun-2020,10311.95,10337.95,10223.6,10312.4,574544482,27019.46,10368.03,10424.81,10326.21,10466.63,10269.43
30-Jun-2020,10382.6,10401.05,10267.35,10302.1,556238560,27342.55,10291.32,10359.04,10244.69,10405.67,10176.97
01-Jul-2020,10323.8,10447.05,10299.6,10430.05,573550127,28736.28,10323.5,10379.65,10245.95,10457.2,10189.8
02-Jul-2020,10493.05,10598.2,10485.55,10551.7,597423931,31235.17,10392.23,10484.86,10337.41,10539.68,10244.78
03-Jul-2020,10614.95,10631.3,10562.65,10607.35,525190704,25186.39,10545.15,10604.75,10492.1,10657.8,10432.5
06-Jul-2020,10723.85,10811.4,10695.1,10763.65,571212914,29857.54,10600.43,10638.21,10569.56,10669.08,10531.78
